图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-n预测正确,Citizen Park-预测置信度,Group photo-预测置信度,airport-预测置信度,ancient temple-预测置信度,art gallery-预测置信度,backpacker-预测置信度,beach-预测置信度,botanical garden-预测置信度,bridge-预测置信度,cable car-预测置信度,camping-预测置信度,canyon-预测置信度,castle-预测置信度,cave-预测置信度,church-预测置信度,city walk-预测置信度,cliff-预测置信度,concert hall-预测置信度,couple-预测置信度,desert-预测置信度,dining-预测置信度,entertainment district-预测置信度,exhibition hall-预测置信度,family with kids-预测置信度,forest-预测置信度,fountain-预测置信度,glacier-预测置信度,harbor-预测置信度,hiking-预测置信度,island-预测置信度,lake-预测置信度,library-预测置信度,monument-预测置信度,mountain-预测置信度,museum-预测置信度,nightclub-预测置信度,ocean-预测置信度,opera house-预测置信度,picnic-预测置信度,railway-预测置信度,reef-预测置信度,river-预测置信度,selfie-预测置信度,senior traveler-预测置信度,shopping mall-预测置信度,skiing-预测置信度,solo traveler-预测置信度,souvenir shop-预测置信度,sunbathing-预测置信度,temple-预测置信度,theater-预测置信度,tour group-预测置信度,train-预测置信度,valley-预测置信度,volcano-预测置信度,waterfall-预测置信度,zoo-预测置信度
<DATA_ROOT>/tourism_pic/test/Citizen Park/20bfc66743d57a3764bdddf88859baf1.jpg,0,Citizen Park,0,Citizen Park,38,picnic,7,botanical garden,True,0.72532654,0.00015966536,3.7792408e-06,0.00019904775,7.719248e-05,3.5536472e-05,1.0030254e-05,0.008205453,0.0004847447,2.1283952e-06,0.002908635,6.142725e-06,5.6736853e-06,5.3885437e-05,0.0005758902,8.4163565e-07,1.8875302e-06,0.00042873487,1.2548822e-05,5.5795464e-08,0.00038461972,0.0001564067,0.0007720827,1.0818886e-05,0.00027926685,9.135241e-05,1.2347798e-06,1.48938125e-05,7.1245406e-05,4.532637e-06,8.586808e-05,0.00061212055,0.00045200498,1.6406882e-05,0.00018341687,1.108497e-05,7.438073e-08,1.109144e-05,0.25686023,1.1103453e-05,8.341269e-07,4.192742e-05,8.821751e-06,2.4167055e-06,2.1935202e-05,8.534333e-08,3.4411973e-05,8.330735e-05,4.7022017e-06,0.00030475121,0.00010736408,0.00022811841,2.2568845e-05,0.00010999864,2.375557e-07,4.2075803e-06,0.0004959789
<DATA_ROOT>/tourism_pic/test/Citizen Park/b5ad5e52c9221929fe60e0801975b82a.jpg,0,Citizen Park,0,Citizen Park,38,picnic,21,entertainment district,True,0.9811265,0.00040954014,8.2192145e-07,1.6302021e-06,1.7571494e-05,7.137931e-06,2.4426543e-05,0.0011457043,1.2513057e-05,8.07886e-06,0.000103586484,3.955802e-06,9.38958e-06,4.119472e-06,8.820433e-06,4.6475252e-05,4.816668e-07,7.484761e-06,5.7559705e-06,1.468957e-07,1.1748139e-05,0.00273835,5.9341757e-05,0.002520724,0.00022477661,6.463251e-05,3.2126384e-06,0.0001492653,1.9541112e-06,3.166956e-05,8.6209366e-05,1.0107382e-05,2.6627653e-05,5.883553e-06,1.6399299e-05,1.9697634e-05,3.0744216e-06,1.3151564e-06,0.009008225,7.72748e-06,8.689317e-06,5.777725e-05,4.026624e-06,3.7008533e-08,2.1747537e-05,1.2340602e-07,1.7667018e-07,1.9102083e-06,7.529218e-05,6.440077e-06,1.3588471e-05,5.2824416e-05,1.4329473e-05,5.5088603e-05,1.1532226e-06,1.1878717e-06,0.0017505662
<DATA_ROOT>/tourism_pic/test/Citizen Park/75f0d80979af5d61ebb7cc634ed25b23.jpg,0,Citizen Park,0,Citizen Park,53,valley,41,river,True,0.9921747,2.9790453e-05,1.1718572e-05,5.2976917e-05,6.671488e-05,3.1951287e-05,4.5542456e-06,1.5109871e-05,0.00034748792,1.0148632e-05,2.4369809e-05,0.00035022403,0.00019883356,0.00035819237,6.0831782e-05,9.189934e-05,7.663363e-05,9.1174086e-05,1.7319158e-05,7.340338e-07,7.2580624e-06,0.0006320147,6.813746e-05,1.44430005e-05,4.526238e-05,7.971936e-05,8.387595e-06,0.00014080518,3.1826248e-06,2.4386409e-05,3.7063895e-05,0.00010165017,0.00016309653,0.00023082877,0.00016493976,0.0005934907,8.330589e-06,0.00033410641,0.00028235486,3.4175548e-05,9.073443e-06,0.00088920526,3.5328285e-05,2.9072132e-06,3.320653e-05,7.457655e-08,2.3507713e-05,3.8297763e-05,6.121301e-07,0.00011925026,0.0003023211,0.00016059521,0.0001744555,0.0009409038,7.469845e-07,4.5010995e-05,0.00023548293
<DATA_ROOT>/tourism_pic/test/Citizen Park/68ea2a8813b00a7ed959c999495b0690.jpg,0,Citizen Park,0,Citizen Park,32,monument,34,museum,True,0.9476782,0.00010024195,0.00011846156,0.00010839101,0.00041607465,3.6974678e-05,9.166803e-06,5.8694874e-05,5.7636513e-05,0.00011643174,9.5191035e-06,4.6567427e-05,3.8645427e-05,4.805732e-05,0.00018406608,0.003956871,5.205585e-05,9.622741e-05,1.7684379e-05,1.195724e-06,2.5005427e-06,0.0035059813,0.00022195494,5.3109045e-05,2.2336459e-05,0.007410888,1.8298355e-06,0.000110537694,1.4087938e-05,0.00016461275,4.0437826e-06,2.9796844e-05,0.020239782,9.1858936e-05,0.0074758246,0.00040655336,7.044533e-07,0.00018355719,5.4787277e-05,8.929051e-06,1.27292005e-05,0.00066023995,3.668134e-05,1.4061702e-06,0.00042960007,1.0555513e-07,6.627102e-06,0.00040769717,1.2520157e-05,0.00018519684,0.00018525815,0.0040821177,9.950324e-05,1.9597235e-05,4.5277334e-06,0.00045466033,0.0002465652
<DATA_ROOT>/tourism_pic/test/Citizen Park/be80572ab4e5ca2ce8d21688a5d240c6.jpg,0,Citizen Park,0,Citizen Park,21,entertainment district,22,exhibition hall,True,0.94032896,0.00080302474,0.00011011238,0.000100359386,0.00015720759,7.1722616e-06,6.334861e-06,0.00033048223,0.00017962183,9.656227e-05,3.4488145e-05,0.00015933611,4.0353578e-05,0.00062738796,7.3223586e-05,5.6223165e-05,3.235656e-05,0.0022648766,6.6163484e-05,2.4777919e-05,0.00012232018,0.016959205,0.008206395,0.00020261227,0.00011079981,0.00039092582,4.4405744e-05,0.00010078321,7.431894e-06,2.0293763e-05,5.181586e-05,0.00014462725,0.00060548814,7.02123e-05,0.0005022029,8.9287445e-05,0.00028502013,0.0041750283,0.001258242,0.00010075525,2.2037453e-05,0.0054906937,2.4692454e-05,6.4254935e-05,4.4783013e-05,1.9005328e-06,2.1437734e-05,0.00075132056,9.117248e-05,0.00017342993,0.0037203017,0.005642858,0.0006075473,0.0014766562,5.6681342e-06,9.04145e-05,0.0028240334
<DATA_ROOT>/tourism_pic/test/Citizen Park/7f91b6c6ad725271159b722e1d2e871e.jpg,0,Citizen Park,0,Citizen Park,21,entertainment district,38,picnic,True,0.9694928,0.00033275734,6.547846e-05,7.746249e-05,0.00026877955,5.5989362e-06,1.0533477e-05,0.0001253411,0.0002212479,0.0002726149,2.3427177e-05,0.0007642817,0.00013579373,0.00077978405,5.615714e-05,0.0009239682,0.00022727727,0.00039865018,7.409675e-05,6.4886203e-06,0.00019929401,0.0046929154,0.0013833945,7.2243965e-05,0.00021849145,0.00017774326,2.3804205e-05,0.0009462457,7.759865e-06,0.00014831475,9.370183e-05,0.0001661886,0.00011887095,0.00070675206,0.00050301815,0.001688697,7.834085e-05,0.00096851157,0.0028895948,7.512571e-05,0.00023666545,0.0022921884,0.00013776928,1.5052635e-05,0.00019189637,4.2594843e-07,0.00010428928,0.00022433612,0.0002494325,0.00022256805,0.00039236265,0.001182524,0.0003757536,0.002484941,1.6963788e-05,0.00030183926,0.00214936
<DATA_ROOT>/tourism_pic/test/Citizen Park/9883d44c5ec54c6007307ee7b652cd02.jpg,0,Citizen Park,0,Citizen Park,32,monument,21,entertainment district,True,0.8145016,0.0008745748,6.040278e-05,0.00037199786,0.0027894042,8.8211455e-06,1.739381e-05,0.00018941771,0.00062188634,0.00019969327,1.7035973e-05,0.00012104007,0.00073478074,0.00031519364,0.0005221728,0.00063858466,0.000596695,0.0012294378,7.240686e-05,3.90885e-06,1.6085125e-05,0.028199239,0.012724778,6.571803e-05,2.7101194e-05,0.0012861955,1.9541863e-05,0.013176395,5.2581067e-06,5.373149e-05,3.579767e-05,7.411962e-05,0.08575357,0.0011908666,0.01753678,5.6378416e-05,2.8704604e-05,0.00053037,0.00063531904,5.1661686e-05,4.0828218e-05,0.0003203029,0.00026009936,7.430678e-06,4.469983e-05,1.8892574e-06,7.584266e-05,0.0005129117,0.0027418458,0.0028979278,0.00057500607,0.0035665797,0.00030586406,0.0019849264,0.000122060155,8.746095e-05,0.0011002294
<DATA_ROOT>/tourism_pic/test/Citizen Park/b00136a579e74492321e2eed83e51236.jpg,0,Citizen Park,0,Citizen Park,22,exhibition hall,34,museum,True,0.7874476,0.00013119538,0.00093013124,0.00025171126,0.008727386,9.179287e-05,1.3466203e-05,0.021235408,0.00024844633,0.00042320386,0.00021027614,0.00035851274,0.0005267269,0.00069935474,0.0027471264,4.1765335e-05,0.00041857662,0.014658531,0.00015397972,7.343076e-06,0.010921256,0.0060929763,0.049620777,9.5038835e-05,0.0013345057,0.00040933606,0.00010306898,0.0020527164,2.0781416e-05,0.00023838865,0.0013865659,0.02594131,0.002556899,0.0017431915,0.027161378,0.0019968336,2.7152117e-05,0.0013185282,0.004102351,0.00011913483,9.8772565e-05,0.00024946395,7.478973e-05,3.7859576e-05,0.0032742433,2.41787e-05,5.1764393e-05,0.00215601,0.0001814984,0.0028221651,0.0009632126,0.00028081922,0.0002001038,0.006247028,5.225511e-06,0.00012238717,0.006645729
<DATA_ROOT>/tourism_pic/test/Citizen Park/b85fcf5e4a2d60194dcaab82bb943612.jpg,0,Citizen Park,0,Citizen Park,53,valley,21,entertainment district,True,0.98700666,8.158711e-05,8.795751e-06,0.0001219304,0.00012484238,1.8542438e-05,5.9382187e-06,4.1597126e-05,0.00011665323,1.5145807e-05,3.053646e-05,0.00021967599,0.00015051774,0.00039459363,8.679587e-05,7.4841984e-05,0.00012927072,0.00023996302,3.372357e-05,2.3685432e-06,7.4360864e-06,0.0012067348,8.476811e-05,3.052062e-05,0.00013060558,7.346219e-05,3.0757034e-05,9.602005e-05,1.1045185e-05,3.865965e-05,0.00014308529,5.9424423e-05,0.00036958442,0.0010200661,0.0003818199,0.00037505096,1.5718253e-05,0.0009746172,0.000555727,2.7264481e-05,2.0009576e-05,0.0011294613,0.00010208791,2.6013504e-06,1.6546084e-05,1.4114038e-07,3.7468722e-05,0.00010059034,1.7226597e-05,0.00021703221,0.00074902433,0.00034384264,9.948767e-05,0.0023454842,1.0333637e-05,8.297014e-05,0.0001893971
<DATA_ROOT>/tourism_pic/test/Citizen Park/252590842cb32414ee19ed9446e7cf81.jpg,0,Citizen Park,0,Citizen Park,21,entertainment district,32,monument,True,0.9999627,1.510287e-06,3.5866627e-08,1.5034537e-08,3.82955e-08,1.5035798e-08,1.7458765e-07,1.4977766e-06,8.9866504e-08,1.0322478e-08,1.2216647e-07,2.0327027e-08,7.801928e-09,6.9512063e-09,3.8729237e-07,3.1932675e-06,5.246088e-08,1.04920005e-07,2.1596829e-07,1.1494731e-08,1.7311478e-08,9.208813e-06,2.2954279e-07,3.283972e-07,1.0189188e-08,1.3744869e-06,2.665436e-09,3.500884e-07,3.208117e-08,2.5845393e-08,5.986994e-08,5.0066923e-08,7.648045e-06,2.4493836e-08,9.43447e-08,8.254534e-07,4.5212722e-08,3.225062e-08,6.175183e-07,1.8893031e-08,1.3619325e-09,1.3904138e-07,1.3494241e-07,4.5656825e-09,2.5692722e-07,3.440388e-09,8.488913e-10,2.469462e-07,7.783842e-08,9.719291e-09,2.535697e-07,2.4533322e-06,7.57107e-08,2.9087705e-08,1.2838712e-09,4.87524e-09,5.148502e-06
<DATA_ROOT>/tourism_pic/test/Citizen Park/f7450798dbc8e35890e5ec2bfa212f8a.jpg,0,Citizen Park,0,Citizen Park,21,entertainment district,53,valley,True,0.9333614,0.0001948344,3.8985912e-05,0.00014996553,0.00017110194,8.035958e-06,2.266658e-05,3.0610085e-05,0.0002115999,0.00030474365,4.7992515e-05,0.0007617135,0.00043984986,0.0004607653,0.00021132825,0.0044484646,0.0004780124,0.0029767535,4.5890087e-05,7.948534e-06,1.2911492e-05,0.027074212,0.00044971536,3.532707e-05,0.00010380184,0.00010038765,8.9152454e-05,0.002806077,1.09219e-05,0.00018085762,9.2860675e-05,4.2943604e-05,0.000797762,0.0012621424,0.0016255607,0.0006971156,8.705991e-05,0.005374005,0.0015644378,2.8784925e-05,7.0212394e-05,0.001300663,0.0001161054,2.8650275e-06,5.4929893e-05,1.8077368e-07,7.1411555e-06,0.00029080978,0.00041220372,0.0009811312,0.0014501341,0.0016764739,0.00013584859,0.006280393,3.1872294e-06,9.510388e-05,0.00031406933
<DATA_ROOT>/tourism_pic/test/Citizen Park/ff049395df5cbc63f6ca3e0c9bf73136.jpg,0,Citizen Park,0,Citizen Park,21,entertainment district,34,museum,True,0.9995596,5.8174455e-06,2.334118e-06,3.7453045e-08,1.0988391e-06,5.3364584e-08,6.200302e-08,4.7089227e-08,2.3177049e-07,8.322788e-08,3.7340118e-09,1.8024611e-08,5.202832e-06,1.8845402e-08,3.1686523e-05,4.560369e-06,7.240912e-07,3.5504197e-06,2.9153657e-07,9.779165e-08,2.664457e-06,0.00021350935,1.894443e-05,3.0548674e-06,1.3678672e-09,5.434541e-07,1.130679e-07,2.4374208e-06,1.4096495e-09,8.61748e-07,4.1241513e-08,1.4555818e-05,7.1233916e-07,2.0419682e-07,4.5635905e-05,2.0953343e-05,5.1352924e-08,5.883707e-06,4.28785e-08,4.7440636e-08,8.063104e-09,1.775528e-07,1.0046052e-06,4.31412e-07,3.3413166e-05,1.41205865e-08,1.01841934e-07,6.45694e-07,7.3546616e-08,2.555132e-07,2.4213189e-06,8.8074585e-06,3.9704818e-07,2.0272199e-07,4.6940773e-10,1.5028935e-08,6.1531955e-06
<DATA_ROOT>/tourism_pic/test/Citizen Park/d2246ac517c2081644ca9bd7a3cde12a.jpg,0,Citizen Park,0,Citizen Park,53,valley,41,river,True,0.9890597,7.2474395e-05,3.764574e-06,0.00012886414,2.7007194e-05,3.2196117e-06,4.2272954e-06,5.5097826e-05,0.00016833874,1.0508546e-05,5.923924e-06,0.0004670269,0.00015594851,0.00018883059,4.4282606e-05,3.218462e-05,7.965086e-05,5.854236e-05,1.0027363e-05,6.619022e-06,5.2949044e-06,0.0012514628,5.533785e-05,1.8147532e-05,4.0306586e-05,0.00013171266,7.87032e-06,0.00036435833,1.6768772e-06,1.9322626e-05,3.6310175e-05,2.272757e-05,0.00042835632,0.00031522845,0.0001473433,2.2665516e-05,3.7254078e-05,0.000149572,0.00052000146,2.1512142e-05,1.2931515e-05,0.0016373319,3.667136e-05,1.3317324e-06,5.658165e-06,3.5092633e-08,2.3560857e-05,2.215386e-05,1.02239455e-05,0.00026917082,0.00011240159,0.00012402344,0.00012599479,0.002925258,3.1548554e-06,0.000107242886,0.00040419737
<DATA_ROOT>/tourism_pic/test/Citizen Park/adddd6483f626c970dbdfb612d3079c4.jpg,0,Citizen Park,32,monument,0,Citizen Park,27,harbor,True,0.4007677,0.00021080609,1.2666895e-05,3.2793065e-05,0.00047236314,0.0001658867,0.00017317415,0.0037332042,8.634706e-05,6.715917e-05,0.00016972006,9.894403e-06,2.2192919e-05,2.0971896e-05,3.3911656e-05,0.0010849645,1.5899606e-05,0.00043834143,0.00038760342,1.6226562e-07,1.42226745e-05,0.00046173428,4.5751603e-05,0.00010711717,6.807412e-05,0.0017745516,3.530861e-05,0.01521403,4.9660855e-05,0.0006804573,0.0001228818,0.00010824876,0.56317806,0.00012145308,0.002736793,1.857284e-05,4.8586906e-05,1.751088e-05,0.0010033917,3.2329393e-05,0.0007614062,4.6637735e-05,0.001545237,1.6185992e-05,4.8871967e-05,1.7415618e-05,9.2514165e-05,7.222595e-05,3.0326024e-05,0.00013185808,4.6897312e-05,0.0010293223,5.6760364e-05,1.966285e-05,1.7143097e-05,8.403759e-06,0.002314624
